club_profile_user29_team_trace | seed=424243 years=5
trace_team_ids=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 29, 33, 38, 46]

=== opening ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean rank_last rw rl
1 'エルバード東京' hold - - - - 0 0 0 28.15 68.46 - 0 0
2 '千葉ジャイアンツ' hold - - - - 0 0 0 26.00 66.77 - 0 0
3 '琉球プラチナクラウンズ' hold - - - - 0 0 0 25.31 65.85 - 0 0
4 '宇都宮ブレイバーズ' push - - - - 0 0 0 24.62 67.38 - 0 0
5 '名古屋ハートホエールズ' rebuild - - - - 0 0 0 23.46 69.08 - 0 0
6 'ビーホークス三河' hold - - - - 0 0 0 26.92 67.38 - 0 0
7 '川崎ブレイクライトニング' hold - - - - 0 0 0 25.46 69.92 - 0 0
8 '群馬ブラックボルツ' hold - - - - 0 0 0 26.38 67.62 - 0 0
9 '長崎パルカンズ' hold - - - - 0 0 0 27.46 68.77 - 0 0
10 '佐賀ブーマーズ' hold - - - - 0 0 0 24.62 67.31 - 0 0
11 '広島タイガーランズ' push - - - - 0 0 0 26.31 64.69 - 0 0
12 'シンライダーズ渋谷' rebuild - - - - 0 0 0 27.46 66.00 - 0 0
13 '大阪エビーズ' hold - - - - 0 0 0 26.77 69.23 - 0 0
14 '浜松サンダーバーズ' hold - - - - 0 0 0 24.38 70.54 - 0 0
15 '島根カグヅチウィザーズ' hold - - - - 0 0 0 28.15 68.23 - 0 0
16 '横浜パイレーツ' hold - - - - 0 0 0 25.08 71.69 - 0 0
17 'アペカムイ北海道' hold - - - - 0 0 0 26.69 72.00 - 0 0
18 '仙台46ers' hold - - - - 0 0 0 26.62 71.69 - 0 0
19 '秋田ノースラッキーズ' hold - - - - 0 0 0 25.62 73.46 - 0 0
20 '茨城メカニックス' hold - - - - 0 0 0 25.85 71.00 - 0 0
21 '越谷ガンマズ' hold - - - - 0 0 0 26.31 66.23 - 0 0
22 'エルトゥール千葉' push - - - - 0 0 0 26.15 68.77 - 0 0
25 '滋賀リバーズ' hold - - - - 0 0 0 26.38 71.92 - 0 0
26 '京都ホーネッツ' hold - - - - 0 0 0 26.08 69.62 - 0 0
27 '神戸スパーズ' hold - - - - 0 0 0 25.85 65.62 - 0 0
29 '福岡ファルコンズ' hold - - - - 0 0 0 25.92 67.54 - 0 0
33 '青森ワルツ' hold - - - - 0 0 0 25.85 69.08 - 0 0
38 '奈良ディアーズ' hold - - - - 0 0 0 25.54 69.38 - 0 0
46 '鳥取サキューズ' hold - - - - 0 0 0 25.85 69.38 - 0 0

=== after_season_y1 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean rank_last rw rl
