initial_roster_realism_inspection seed=424242
teams=48 players=624

=== PLAYER TABLE (tab-separated) ===
team_id	team_name	div	player	age	nat	bucket	OVR	POT	salary	icon
1	エルバード東京	D1	Player_1	18	Japan	日本	56	B	41002162	False
1	エルバード東京	D1	Player_2	18	Japan	日本	68	C	43710662	False
1	エルバード東京	D1	Player_3	35	Japan	日本	66	D	41785616	False
1	エルバード東京	D1	Player_4	27	Japan	日本	78	D	165000000	False
1	エルバード東京	D1	Player_5	33	Asia	アジア/帰化	63	D	101857909	False
1	エルバード東京	D1	Player_6	30	Japan	日本	69	D	43928468	False
1	エルバード東京	D1	Player_7	21	Japan	日本	73	C	92000000	False
1	エルバード東京	D1	Player_8	32	Japan	日本	62	D	41883018	False
1	エルバード東京	D1	Player_9	19	Foreign	外国籍	68	C	55000000	False
1	エルバード東京	D1	Player_10	27	Foreign	外国籍	76	D	224273012	False
1	エルバード東京	D1	Player_11	19	Foreign	外国籍	53	B	55000000	False
1	エルバード東京	D1	Player_12	24	Japan	日本	60	D	40650783	False
1	エルバード東京	D1	Player_13	30	Japan	日本	66	D	43051846	False
2	千葉ジャイアンツ	D1	Player_14	22	Japan	日本	66	B	34953455	False
2	千葉ジャイアンツ	D1	Player_15	32	Foreign	外国籍	72	D	105000000	False
2	千葉ジャイアンツ	D1	Player_16	27	Foreign	外国籍	68	D	105000000	False
2	千葉ジャイアンツ	D1	Player_17	19	Japan	日本	61	C	34000000	False
2	千葉ジャイアンツ	D1	Player_18	27	Japan	日本	69	C	36098357	False
2	千葉ジャイアンツ	D1	Player_19	34	Foreign	外国籍	86	D	176786220	False
2	千葉ジャイアンツ	D1	Player_20	33	Japan	日本	58	D	34000000	False
2	千葉ジャイアンツ	D1	Player_21	25	Japan	日本	83	B	144799196	False
2	千葉ジャイアンツ	D1	Player_22	27	Japan	日本	71	D	34000000	False
2	千葉ジャイアンツ	D1	Player_23	28	Asia	アジア/帰化	73	C	73213817	False
2	千葉ジャイアンツ	D1	Player_24	35	Japan	日本	69	D	34000000	False
2	千葉ジャイアンツ	D1	Player_25	35	Japan	日本	75	D	70000000	False
2	千葉ジャイアンツ	D1	Player_26	23	Japan	日本	73	C	71491139	False
3	琉球プラチナクラウンズ	D1	Player_27	19	Japan	日本	65	C	39100000	False
3	琉球プラチナクラウンズ	D1	Player_28	30	Foreign	外国籍	78	D	201260000	False
3	琉球プラチナクラウンズ	D1	Player_29	20	Foreign	外国籍	82	B	55000000	False
3	琉球プラチナクラウンズ	D1	Player_30	29	Japan	日本	62	C	39466692	False
3	琉球プラチナクラウンズ	D1	Player_31	30	Japan	日本	75	D	80500000	False
3	琉球プラチナクラウンズ	D1	Player_32	28	Japan	日本	68	D	39100000	False
3	琉球プラチナクラウンズ	D1	Player_33	21	Japan	日本	71	B	41105937	False
3	琉球プラチナクラウンズ	D1	Player_34	19	Japan	日本	67	A	40783373	False
3	琉球プラチナクラウンズ	D1	Player_35	24	Japan	日本	77	D	80500000	False
3	琉球プラチナクラウンズ	D1	Player_36	19	Naturalized	アジア/帰化	70	B	55000000	False
3	琉球プラチナクラウンズ	D1	Player_37	30	Foreign	外国籍	73	D	120750000	False
3	琉球プラチナクラウンズ	D1	Player_38	18	Japan	日本	73	C	39162548	False
3	琉球プラチナクラウンズ	D1	Player_39	26	Japan	日本	86	C	165000000	False
4	宇都宮ブレイバーズ	D1	Player_40	22	Foreign	外国籍	59	B	77842926	False
4	宇都宮ブレイバーズ	D1	Player_41	23	Foreign	外国籍	63	C	79127451	False
4	宇都宮ブレイバーズ	D1	Player_42	24	Japan	日本	63	C	40373870	False
4	宇都宮ブレイバーズ	D1	Player_43	33	Japan	日本	69	D	38919256	False
4	宇都宮ブレイバーズ	D1	Player_44	22	Foreign	外国籍	70	B	124362413	False
4	宇都宮ブレイバーズ	D1	Player_45	30	Japan	日本	59	D	36690099	False
4	宇都宮ブレイバーズ	D1	Player_46	21	Japan	日本	75	B	86015958	False
4	宇都宮ブレイバーズ	D1	Player_47	18	Japan	日本	63	C	37800237	False
4	宇都宮ブレイバーズ	D1	Player_48	24	Japan	日本	55	D	35695237	False
4	宇都宮ブレイバーズ	D1	Player_49	26	Japan	日本	90	B	92000000	False
4	宇都宮ブレイバーズ	D1	Player_50	34	Japan	日本	60	D	36227007	False
4	宇都宮ブレイバーズ	D1	Player_51	32	Asia	アジア/帰化	75	D	80749675	False
4	宇都宮ブレイバーズ	D1	Player_52	30	Japan	日本	72	D	40088943	False
5	名古屋ハートホエールズ	D1	Player_53	23	Foreign	外国籍	72	B	185811303	False
5	名古屋ハートホエールズ	D1	Player_54	33	Japan	日本	61	C	36100481	False
5	名古屋ハートホエールズ	D1	Player_55	30	Japan	日本	83	C	142977387	False
5	名古屋ハートホエールズ	D1	Player_56	26	Japan	日本	77	C	75649671	False
5	名古屋ハートホエールズ	D1	Player_57	30	Japan	日本	70	D	36100482	False
5	名古屋ハートホエールズ	D1	Player_58	20	Naturalized	アジア/帰化	71	C	55000000	False
5	名古屋ハートホエールズ	D1	Player_59	31	Japan	日本	69	D	36100482	False
5	名古屋ハートホエールズ	D1	Player_60	31	Japan	日本	71	D	74324521	False
5	名古屋ハートホエールズ	D1	Player_61	26	Foreign	外国籍	61	C	111486782	False
5	名古屋ハートホエールズ	D1	Player_62	30	Foreign	外国籍	65	D	111486782	False
5	名古屋ハートホエールズ	D1	Player_63	26	Japan	日本	66	D	36100482	False
5	名古屋ハートホエールズ	D1	Player_64	21	Japan	日本	62	C	36100482	False
5	名古屋ハートホエールズ	D1	Player_65	32	Japan	日本	61	D	36100482	False
6	ビーホークス三河	D1	Player_66	23	Japan	日本	70	D	39505689	False
6	ビーホークス三河	D1	Player_67	26	Japan	日本	86	C	92000000	False
6	ビーホークス三河	D1	Player_68	20	Japan	日本	61	B	41360394	False
6	ビーホークス三河	D1	Player_69	27	Japan	日本	71	D	40724974	False
6	ビーホークス三河	D1	Player_70	20	Japan	日本	75	A	46764766	False
6	ビーホークス三河	D1	Player_71	28	Japan	日本	75	D	41794340	False
6	ビーホークス三河	D1	Player_72	18	Japan	日本	68	C	39991021	False
6	ビーホークス三河	D1	Player_73	26	Japan	日本	91	C	165000000	False
6	ビーホークス三河	D1	Player_74	25	Foreign	外国籍	83	C	225000000	False
6	ビーホークス三河	D1	Player_75	24	Japan	日本	86	C	47862354	False
6	ビーホークス三河	D1	Player_76	20	Naturalized	アジア/帰化	56	B	55000000	False
6	ビーホークス三河	D1	Player_77	33	Foreign	外国籍	69	C	126615311	False
6	ビーホークス三河	D1	Player_78	24	Foreign	外国籍	81	C	225000000	False
7	川崎ブレイクライトニング	D1	Player_79	24	Foreign	外国籍	63	D	75256292	False
7	川崎ブレイクライトニング	D1	Player_80	33	Japan	日本	64	D	37360928	False
7	川崎ブレイクライトニング	D1	Player_81	26	Foreign	外国籍	58	C	77678277	False
7	川崎ブレイクライトニング	D1	Player_82	29	Foreign	外国籍	84	D	125628747	False
7	川崎ブレイクライトニング	D1	Player_83	28	Japan	日本	76	D	80696208	False
7	川崎ブレイクライトニング	D1	Player_84	30	Asia	アジア/帰化	64	D	75256292	False
7	川崎ブレイクライトニング	D1	Player_85	22	Japan	日本	75	C	84421470	False
7	川崎ブレイクライトニング	D1	Player_86	25	Japan	日本	72	D	39807765	False
7	川崎ブレイクライトニング	D1	Player_87	30	Japan	日本	61	D	36951991	False
7	川崎ブレイクライトニング	D1	Player_88	26	Japan	日本	59	D	36553055	False
7	川崎ブレイクライトニング	D1	Player_89	22	Japan	日本	53	D	36553056	False
7	川崎ブレイクライトニング	D1	Player_90	22	Japan	日本	58	C	38085107	False
7	川崎ブレイクライトニング	D1	Player_91	32	Japan	日本	62	D	37211606	False
8	群馬ブラックボルツ	D1	Player_92	22	Japan	日本	79	A	130000000	False
8	群馬ブラックボルツ	D1	Player_93	20	Japan	日本	65	B	34000000	False
8	群馬ブラックボルツ	D1	Player_94	34	Foreign	外国籍	71	D	105000000	False
8	群馬ブラックボルツ	D1	Player_95	21	Japan	日本	66	A	34000000	False
8	群馬ブラックボルツ	D1	Player_96	20	Japan	日本	76	A	34000000	False
8	群馬ブラックボルツ	D1	Player_97	31	Foreign	外国籍	73	D	105000000	False
8	群馬ブラックボルツ	D1	Player_98	24	Japan	日本	66	D	34000000	False
8	群馬ブラックボルツ	D1	Player_99	22	Naturalized	アジア/帰化	75	C	155000000	False
8	群馬ブラックボルツ	D1	Player_100	34	Japan	日本	61	D	34000000	False
8	群馬ブラックボルツ	D1	Player_101	25	Foreign	外国籍	79	D	175000000	False
8	群馬ブラックボルツ	D1	Player_102	34	Japan	日本	72	C	70000000	False
8	群馬ブラックボルツ	D1	Player_103	23	Japan	日本	73	C	70000000	False
8	群馬ブラックボルツ	D1	Player_104	23	Japan	日本	71	A	34000000	False
9	長崎パルカンズ	D1	Player_105	25	Japan	日本	66	D	40190638	False
9	長崎パルカンズ	D1	Player_106	30	Foreign	外国籍	79	D	213350591	False
9	長崎パルカンズ	D1	Player_107	18	Japan	日本	79	A	46002016	False
9	長崎パルカンズ	D1	Player_108	30	Japan	日本	71	D	41554574	False
9	長崎パルカンズ	D1	Player_109	31	Japan	日本	70	D	41686511	False
9	長崎パルカンズ	D1	Player_110	21	Japan	日本	72	A	90612687	False
9	長崎パルカンズ	D1	Player_111	29	Japan	日本	68	D	40736213	False
9	長崎パルカンズ	D1	Player_112	23	Asia	アジア/帰化	57	C	97687325	False
9	長崎パルカンズ	D1	Player_113	33	Japan	日本	79	D	155803452	False
9	長崎パルカンズ	D1	Player_114	33	Japan	日本	69	D	40606951	False
9	長崎パルカンズ	D1	Player_115	23	Foreign	外国籍	60	D	111556430	False
9	長崎パルカンズ	D1	Player_116	24	Foreign	外国籍	72	D	200835345	False
9	長崎パルカンズ	D1	Player_117	29	Japan	日本	70	D	41281787	False
10	佐賀ブーマーズ	D1	Player_118	29	Japan	日本	70	D	73624228	False
10	佐賀ブーマーズ	D1	Player_119	33	Foreign	外国籍	73	C	186362640	False
10	佐賀ブーマーズ	D1	Player_120	27	Japan	日本	58	D	35760339	False
10	佐賀ブーマーズ	D1	Player_121	19	Foreign	外国籍	58	B	55000000	False
10	佐賀ブーマーズ	D1	Player_122	26	Japan	日本	61	D	35760339	False
10	佐賀ブーマーズ	D1	Player_123	27	Japan	日本	75	D	73624228	False
10	佐賀ブーマーズ	D1	Player_124	33	Japan	日本	88	D	138736721	False
10	佐賀ブーマーズ	D1	Player_125	26	Japan	日本	67	D	35760339	False
10	佐賀ブーマーズ	D1	Player_126	33	Japan	日本	55	D	35760339	False
10	佐賀ブーマーズ	D1	Player_127	35	Foreign	外国籍	61	D	110436342	False
10	佐賀ブーマーズ	D1	Player_128	31	Naturalized	アジア/帰化	62	C	163025077	False
10	佐賀ブーマーズ	D1	Player_129	29	Japan	日本	59	C	35760339	False
10	佐賀ブーマーズ	D1	Player_130	21	Japan	日本	69	C	36108792	False
11	広島タイガーランズ	D1	Player_131	33	Japan	日本	60	D	40733640	False
11	広島タイガーランズ	D1	Player_132	20	Japan	日本	65	B	46295935	False
11	広島タイガーランズ	D1	Player_133	30	Japan	日本	59	D	40845880	False
11	広島タイガーランズ	D1	Player_134	33	Foreign	外国籍	84	C	225000000	False
11	広島タイガーランズ	D1	Player_135	19	Japan	日本	58	D	38566836	False
11	広島タイガーランズ	D1	Player_136	34	Japan	日本	60	D	40330336	False
